Country,Index score,Due Diligence Reponse,Legal framework score,Enforcement score,Outcome score
Afghanistan,6.20,Enhanced,2.80,7.21,7.37
Albania,3.60,Enhanced,0.98,5.77,3.72
Algeria,3.90,Enhanced,2.94,5.38,3.63
Andorra,1.90,Basic,4.62,3.15,0.00
Angola,6.60,Enhanced,3.27,7.84,7.65
Antigua and Barbuda,4.10,Enhanced,4.96,4.45,3.53
Argentina,4.10,Enhanced,2.41,5.99,4.02
Armenia,3.90,Enhanced,3.02,5.09,3.64
Australia,2.30,Basic,3.20,2.46,1.78
Austria,2.30,Basic,1.31,2.61,2.69
Azerbaijan,3.60,Enhanced,1.80,4.93,3.86
Bahamas,3.30,Basic,3.28,4.75,2.49
Bahrain,5.10,Enhanced,3.73,7.74,4.46
Bangladesh,5.90,Enhanced,4.22,7.89,5.67
Barbados,3.50,Enhanced,5.35,3.97,2.27
Belarus,3.10,Basic,2.23,5.56,2.35
Belgium,2.30,Basic,1.92,2.46,2.34
Belize,3.80,Enhanced,3.02,4.45,3.86
Benin,5.70,Enhanced,2.61,5.66,7.29
Bhutan,4.40,Enhanced,6.09,5.05,3.13
Bolivia,5.00,Enhanced,3.84,5.34,5.31
Bosnia and Herzegovina,3.50,Enhanced,2.27,5.57,2.99
Botswana,4.20,Enhanced,4.34,3.82,4.22
Brazil,3.70,Enhanced,2.07,5.07,3.74
Brunei,4.20,Enhanced,4.80,6.00,2.90
Bulgaria,3.40,Enhanced,1.83,3.80,3.99
Burkina Faso,5.70,Enhanced,2.83,3.84,8.07
Burundi,6.30,Enhanced,4.24,5.87,7.58
Cabo Verde,4.30,Enhanced,4.71,4.69,3.94
Cambodia,6.40,Enhanced,3.94,7.21,7.30
Cameroon,6.20,Enhanced,3.76,7.13,6.95
Canada,3.30,Basic,3.07,4.86,2.63
Central African Republic,7.30,Heightened,3.32,8.07,8.80
Chad,6.90,Heightened,4.52,8.19,7.46
Chile,2.50,Basic,1.82,2.23,2.96
China,5.60,Enhanced,3.78,6.53,6.03
Colombia,4.00,Enhanced,2.69,5.27,4.06
Comoros,5.70,Enhanced,4.09,4.83,6.96
Congo,6.40,Enhanced,3.26,9.20,6.58
Costa Rica,3.30,Basic,3.12,4.42,2.90
C�te d'Ivoire,6.10,Enhanced,2.01,7.27,7.57
Croatia,2.20,Basic,1.43,3.02,2.10
Cuba,3.20,Basic,1.38,6.36,2.58
Cyprus,3.20,Basic,2.08,5.62,2.44
Czech Republic,300.00,Basic,1.69,4.14,3000.12
Denmark,1.50,Basic,1.57,0.23,2.06
Djibouti,5.30,Enhanced,3.30,6.43,5.69
Dominica,2.80,Basic,4.39,5.31,0.68
Dominican Republic,4.50,Enhanced,2.75,5.79,4.69
DR Congo,6.30,Enhanced,3.06,8.37,6.91
Ecuador,3.50,Enhanced,1.37,5.65,3.47
Egypt,4.50,Enhanced,3.07,6.47,4.16
El Salvador,4.00,Enhanced,2.59,4.74,4.29
Equatorial Guinea,7.30,Heightened,4.77,9.98,7.29
Eritrea,7.20,Heightened,5.12,7.40,8.07
Estonia,2.00,Basic,1.61,3.36,1.50
Ethiopia,5.50,Enhanced,4.26,6.53,5.64
Fiji,4.80,Enhanced,3.85,6.26,4.51
Finland,1.90,Basic,1.20,0.95,2.65
France,1.10,Basic,1.27,1.75,0.74
Gabon,4.50,Enhanced,3.22,4.62,5.09
Gambia,6.30,Enhanced,5.14,7.68,6.09
Georgia,3.50,Enhanced,4.24,5.06,2.34
Germany,2.30,Basic,1.97,1.33,2.90
Ghana,4.50,Enhanced,2.02,5.54,5.18
Greece,3.50,Enhanced,2.58,4.58,3.45
Grenada,2.00,Basic,4.10,2.10,0.95
Guatemala,4.90,Enhanced,2.67,5.32,5.80
Guinea,6.50,Enhanced,3.37,7.63,7.49
Guinea-Bissau,7.60,Heightened,4.08,9.69,8.33
Guyana,4.20,Enhanced,4.26,5.60,3.55
Haiti,5.80,Enhanced,4.22,8.15,5.32
Honduras,5.30,Enhanced,3.69,5.89,5.88
Hungary,2.40,Basic,1.96,2.82,2.37
Iceland,1.70,Basic,2.05,1.11,1.77
India,4.90,Enhanced,2.75,6.33,5.17
Indonesia,4.90,Enhanced,3.27,5.95,5.27
Iran,5.00,Enhanced,4.79,8.00,3.66
Iraq,5.30,Enhanced,4.82,7.53,4.42
Ireland,2.50,Basic,1.72,3.34,2.52
Israel,2.50,Basic,3.74,2.70,1.77
Italy,2.40,Basic,1.55,5.17,1.42
Jamaica,4.40,Enhanced,4.59,5.21,3.83
Japan,2.50,Basic,1.99,3.63,2.09
Jordan,3.60,Enhanced,3.47,5.25,2.86
Kazakhstan,3.60,Enhanced,1.59,5.28,3.74
Kenya,5.60,Enhanced,2.27,6.74,6.60
Kiribati,4.00,Enhanced,3.21,5.94,3.38
Kosovo,4.50,Enhanced,1.33,5.34,5.57
Kuwait,4.20,Enhanced,3.03,6.92,3.37
Kyrgyzstan,4.10,Enhanced,1.97,6.52,4.03
Laos,5.30,Enhanced,4.66,4.89,5.78
Latvia,2.50,Basic,0.86,3.36,2.95
Lebanon,3.70,Enhanced,3.31,5.28,3.10
Lesotho,4.90,Enhanced,3.57,3.85,6.12
Liberia,5.50,Enhanced,4.63,6.50,5.37
Libya,8.20,Heightened,3.10,9.70,10.00
Liechtenstein,2.70,Basic,4.22,5.30,0.66
Lithuania,2.00,Basic,1.55,2.80,1.79
Luxembourg,2.00,Basic,1.43,2.15,2.12
Macedonia,2.70,Basic,1.28,3.03,3.29
Madagascar,5.90,Enhanced,2.92,6.79,6.95
Malawi,5.30,Enhanced,3.71,7.01,5.32
Malaysia,4.60,Enhanced,4.65,5.25,4.17
Maldives,6.00,Enhanced,5.20,7.79,5.48
Mali,6.20,Enhanced,3.57,4.59,8.31
Malta,2.70,Basic,1.97,4.09,2.32
Marshall Islands,4.90,Enhanced,7.07,4.78,3.96
Mauritania,5.10,Enhanced,4.55,4.72,5.51
Mauritius,2.90,Basic,1.73,3.17,3.35
Mexico,4.60,Enhanced,2.30,5.28,5.50
Micronesia,5.50,Enhanced,9.10,5.27,3.82
Moldova,3.50,Enhanced,1.40,4.51,4.05
Monaco,2.20,Basic,6.47,2.12,0.00
Mongolia,3.40,Enhanced,2.08,4.03,3.67
Montenegro,3.20,Basic,2.40,5.01,2.72
Morocco,3.60,Enhanced,2.62,4.60,3.57
Mozambique,5.10,Enhanced,3.34,5.85,5.61
Myanmar,6.40,Enhanced,5.42,6.08,7.11
Namibia,5.40,Enhanced,4.26,5.80,5.84
Nauru,5.30,Enhanced,7.53,8.36,2.67
Nepal,5.50,Enhanced,5.29,7.36,4.76
Netherlands,2.40,Basic,1.21,1.59,3.47
New Zealand,2.50,Basic,3.92,3.50,1.28
Nicaragua,5.10,Enhanced,3.10,5.42,5.84
Niger,7.20,Heightened,3.47,8.02,8.63
Nigeria,6.00,Enhanced,4.29,7.77,5.87
North Korea,6.50,Enhanced,8.18,8.33,4.74
Norway,2.20,Basic,0.88,2.72,2.53
Oman,5.30,Enhanced,5.27,6.17,4.95
Pakistan,6.40,Enhanced,5.31,6.54,6.89
Palau,6.60,Enhanced,7.93,8.05,5.16
Panama,3.10,Basic,3.72,3.93,2.29
Papua New Guinea,7.30,Heightened,6.23,8.04,7.50
Paraguay,4.90,Enhanced,3.13,6.70,4.82
Peru,4.20,Enhanced,3.82,5.38,3.86
Philippines,4.50,Enhanced,2.31,6.19,4.67
Poland,2.40,Basic,1.32,2.95,2.71
Portugal,2.60,Basic,1.67,2.77,3.01
Qatar,4.00,Enhanced,4.85,4.54,3.21
Romania,3.00,Basic,0.90,3.12,3.94
Russia,3.10,Basic,1.25,6.60,2.19
Rwanda,4.70,Enhanced,4.01,4.42,5.09
Saint Kitts and Nevis,4.30,Enhanced,5.22,6.56,2.68
Saint Lucia,4.00,Enhanced,4.77,6.00,2.59
Saint Vincent and The Grenadines,2.80,Basic,5.40,4.32,0.78
Samoa,4.40,Enhanced,5.11,6.23,3.13
San Marino,3.60,Enhanced,4.42,10.00,0.00
Sao Tome and Principe,4.10,Enhanced,4.03,5.37,3.43
Saudi Arabia,4.40,Enhanced,5.37,5.33,3.47
Senegal,5.20,Enhanced,2.81,5.97,6.08
Serbia,3.40,Enhanced,2.40,4.90,3.12
Seychelles,3.40,Enhanced,4.05,4.01,2.67
Sierra Leone,6.30,Enhanced,3.86,5.94,7.77
Singapore,3.80,Enhanced,4.78,4.82,2.89
Slovakia,2.20,Basic,1.05,2.98,2.44
Slovenia,2.00,Basic,1.62,3.39,1.54
Solomon Islands,5.90,Enhanced,5.92,7.71,5.00
Somalia,9.10,Heightened,6.63,9.85,10.00
South Africa,3.60,Enhanced,1.98,4.53,3.91
South Korea,2.90,Basic,2.82,4.47,2.08
South Sudan,7.10,Heightened,3.59,8.46,8.12
Spain,2.30,Basic,0.55,2.72,2.99
Sri Lanka,3.60,Enhanced,2.54,4.62,3.52
State of Palestine,4.50,Enhanced,3.71,5.28,4.41
Sudan,6.20,Enhanced,5.05,8.90,5.47
Suriname,5.80,Enhanced,5.74,6.60,5.35
Swaziland,5.70,Enhanced,5.16,5.90,5.94
Sweden,1.70,Basic,0.98,2.22,1.78
Switzerland,2.70,Basic,2.50,2.16,3.07
Syria,5.20,Enhanced,3.63,7.53,4.72
Tajikistan,3.80,Enhanced,1.50,7.47,3.19
Tanzania,5.70,Enhanced,3.89,6.52,6.13
Thailand,3.80,Enhanced,2.83,5.97,3.28
Timor-Leste,5.50,Enhanced,5.38,6.26,5.24
Togo,5.10,Enhanced,3.41,5.84,5.58
Tonga,5.70,Enhanced,8.89,6.63,3.70
Trinidad and Tobago,4.00,Enhanced,4.88,6.78,2.19
Tunisia,3.70,Enhanced,3.88,5.20,2.80
Turkey,3.70,Enhanced,2.11,5.87,3.38
Turkmenistan,4.10,Enhanced,4.28,7.07,2.57
Tuvalu,5.60,Enhanced,6.70,7.75,4.02
Uganda,5.20,Enhanced,3.93,6.23,5.23
Ukraine,3.40,Enhanced,2.39,5.27,2.86
United Arab Emirates,5.70,Enhanced,5.19,6.06,5.83
United Kingdom,2.20,Basic,2.60,2.35,
United States,NA,Enhanced,5.10,5.57,3.41
Uruguay,3.50,Enhanced,2.94,3.37,3.77
Uzbekistan,4.60,Enhanced,2.10,7.06,4.51
Vanuatu,5.60,Enhanced,6.22,7.64,4.18
Venezuela,4.30,Enhanced,3.15,6.74,3.65
Vietnam,5.60,Enhanced,3.13,6.48,6.47
Yemen,7.10,Heightened,5.31,8.96,7.08
Zambia,6.60,Enhanced,3.34,5.93,8.56
Zimbabwe,5.90,Enhanced,4.32,7.02,6.09
